key,value,date
Ruby,0.0017357763,2010-01-01
Ruby,0.0019738465,2010-02-01
Ruby,0.0020675396,2010-03-01
Ruby,0.0008900757,2010-04-01
Ruby,0.0012010569,2010-05-01
Ruby,0.0032641641,2010-06-01
Ruby,0.0048730444,2010-07-01
Ruby,0.0042918455,2010-08-01
Ruby,0.0043850491,2010-09-01
Ruby,0.0016938387,2010-10-01
Ruby,0.0018101368,2010-11-01
Ruby,0.0016632017,2010-12-01
Ruby,0.0018484288,2011-01-01
Ruby,0.0047827275,2011-02-01
Ruby,0.0019291054,2011-03-01
Ruby,0.0021378942,2011-04-01
Ruby,0.0012547051,2011-05-01
Ruby,0.0022134776,2011-06-01
Ruby,0.0032453789,2011-07-01
Ruby,0.0014532963,2011-08-01
Ruby,0.0013702043,2011-09-01
Ruby,0.0012387387,2011-10-01
Ruby,0.0058528428,2011-11-01
Ruby,0.0020153672,2011-12-01
Ruby,0.0020454819,2012-01-01
Ruby,0.0039509537,2012-02-01
Ruby,0.0024357839,2012-03-01
Ruby,0.0018858436,2012-04-01
Ruby,0.001653944,2012-05-01
Ruby,0.0017526564,2012-06-01
Ruby,0.0012956725,2012-07-01
Ruby,0.0023820867,2012-08-01
Ruby,0.0005674725,2012-09-01
Ruby,0.0013319672,2012-10-01
Ruby,0.0038959774,2012-11-01
Ruby,0.0009434951,2012-12-01
Ruby,0.001375651,2013-01-01
Ruby,0.0028382214,2013-02-01
Ruby,0.0019085791,2013-03-01
Ruby,0.0011734794,2013-04-01
Ruby,0.0018161639,2013-05-01
Ruby,0.0017600741,2013-06-01
Ruby,0.0014282799,2013-07-01
Ruby,0.0014550393,2013-08-01
Ruby,0.0011379552,2013-09-01
Ruby,0.0014303594,2013-10-01
Ruby,0.0010771026,2013-11-01
Ruby,0.0014964459,2013-12-01
Ruby,0.000913849,2014-01-01
Ruby,0.0010057833,2014-02-01
Ruby,0.0016649489,2014-03-01
Ruby,0.0011064395,2014-04-01
Ruby,0.0019823963,2014-05-01
Ruby,0.0009637891,2014-06-01
Ruby,0.001434949,2014-07-01
Ruby,0.0022086306,2014-08-01
Ruby,0.0009678534,2014-09-01
Ruby,0.0009894459,2014-10-01
Ruby,0.0022045855,2014-11-01
Ruby,0.001349022,2014-12-01
Ruby,0.0008131607,2015-01-01
Ruby,0.0016041708,2015-02-01
Ruby,0.0009846827,2015-03-01
Ruby,0.0008690614,2015-04-01
Ruby,0.0020170859,2015-05-01
Ruby,0.000500584,2015-06-01
Ruby,0.0005290242,2015-07-01
Ruby,0.0005014686,2015-08-01
React,0.0011571842,2010-01-01
React,0.0007401925,2010-02-01
React,0.0011486331,2010-03-01
React,0.0004450378,2010-04-01
React,0.0002402114,2010-05-01
React,0.0009326183,2010-06-01
React,0.000512952,2010-07-01
React,0,2010-08-01
React,0.0006264356,2010-09-01
React,0.0008469193,2010-10-01
React,0.0004022526,2010-11-01
React,0.0016632017,2010-12-01
React,0.0015403574,2011-01-01
React,0.0012298442,2011-02-01
React,0.0022908126,2011-03-01
React,0.0021378942,2011-04-01
React,0.0013941168,2011-05-01
React,0.0019675357,2011-06-01
React,0.0011288274,2011-07-01
React,0.0023781213,2011-08-01
React,0.0016193323,2011-09-01
React,0.0013513514,2011-10-01
React,0.0011944577,2011-11-01
React,0.0010076836,2011-12-01
React,0.0004812899,2012-01-01
React,0.0010899183,2012-02-01
React,0.0012178919,2012-03-01
React,0.0007543374,2012-04-01
React,0.0013994911,2012-05-01
React,0.0010954102,2012-06-01
React,0.0009069707,2012-07-01
React,0.0013101477,2012-08-01
React,0.0007944615,2012-09-01
React,0.0004098361,2012-10-01
React,0.0008765949,2012-11-01
React,0.0008386623,2012-12-01
React,0.0010808686,2013-01-01
React,0.0012614317,2013-02-01
React,0.0010497185,2013-03-01
React,0.0012712693,2013-04-01
React,0.0025224498,2013-05-01
React,0.0034275127,2013-06-01
React,0.0024484799,2013-07-01
React,0.002813076,2013-08-01
React,0.0025385154,2013-09-01
React,0.0020561416,2013-10-01
React,0.0038596176,2013-11-01
React,0.0026187804,2013-12-01
React,0.0038215502,2014-01-01
React,0.0025144581,2014-02-01
React,0.0019027987,2014-03-01
React,0.0038356569,2014-04-01
React,0.0041233843,2014-05-01
React,0.0024094727,2014-06-01
React,0.0073341837,2014-07-01
React,0.0049269453,2014-08-01
React,0.0060836502,2014-09-01
React,0.0049472296,2014-10-01
React,0.0062463257,2014-11-01
React,0.0050213595,2014-12-01
React,0.018327391,2015-01-01
